model,train_percentage,train_size,validation_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,max_train,max_test,auc,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,notes
textcnn,80,29160,3240,8101,2000-01-13 18:42:41,2018-05-26 19:58:10,2019-12-08 22:05:16,2025-04-07 20:51:44,,,0.534118,0.565362,0.587646,0.846285,0.693640,0.028676,594,2797,724,3986,
bert,80,29160,3240,8101,2000-01-13 18:42:41,2018-05-26 19:58:10,2019-12-08 22:05:16,2025-04-07 20:51:44,,,0.534809,0.573756,0.590758,0.868577,0.703223,0.045984,557,2834,619,4091,
