split_pct,model,auc,acc,prec,rec,f1,mcc
0.1,random_classifier,0.4942578061850283,0.504375737291158,0.5684002124680091,0.5632326905593569,0.5658046529513555,-0.01146711588400997
0.1,logistic_regression,0.6335065053962257,0.5990782145894489,0.6765945490306265,0.5761041198143452,0.6223187057424924,0.20388313433051689
0.1,random_forest,0.6623912031129731,0.6084058050533593,0.6907133398583684,0.5740466051007225,0.6269990592662277,0.2264017874856935
0.1,xgboost,0.6565137319883776,0.6051960165701901,0.6803769401330377,0.5873008277908034,0.6304219420118647,0.21421327921975938
0.2,random_classifier,0.5027955259140022,0.5103237554396469,0.5818827108331925,0.5502050817663666,0.5656007009089914,0.005545570059490852
0.2,logistic_regression,0.591327767768944,0.5758464244930712,0.6409121470192739,0.6093325520694615,0.6247235192922094,0.1380019700520272
0.2,random_forest,0.6510222775588801,0.622295608160242,0.6752856606405235,0.6705374740318543,0.6729031913187576,0.2260861971116586
0.2,xgboost,0.6338443119205337,0.5916175426684361,0.6645287724924283,0.5960688222447131,0.6284398517353701,0.17939043132825408
0.3,random_classifier,0.5065731060113082,0.5153257380692039,0.5865201372125524,0.5607652596416641,0.5733536187785264,0.013053563507356763
0.3,logistic_regression,0.6276463890510819,0.5689746393425276,0.7010133535372668,0.44955967203158215,0.5478093546477205,0.1877508902824693
0.3,random_forest,0.6898664297362038,0.6049874783958238,0.7477418140760256,0.4826601882781658,0.5866459971210276,0.26206414689295243
0.3,xgboost,0.686885041970999,0.593629854326126,0.7426860396622815,0.4594594594594595,0.5677085287606469,0.24574374479945021
0.4,random_classifier,0.4982660768564413,0.5081683881321757,0.5780609256004686,0.5604941777904004,0.5691420331651046,-0.0034502451733624965
0.4,logistic_regression,0.6596280619669891,0.6030204518332579,0.7103441736986821,0.5319511502414087,0.608339084893021,0.23200066585573104
0.4,random_forest,0.6996868257033116,0.6272169869552693,0.7293054668248609,0.5673814257313263,0.6382332973922766,0.274879605811406
0.4,xgboost,0.6873616902591777,0.632196205917452,0.6982891491985204,0.643354160749787,0.6696969696969697,0.25744898515014986
0.5,random_classifier,0.5075136892572045,0.5182460125425905,0.5765711842667807,0.583961202043821,0.5802426641425007,0.015060581782379436
0.5,logistic_regression,0.6737248466465698,0.6133030467631229,0.7156453110492108,0.5339915129470858,0.6116153350195903,0.25283637119453994
0.5,random_forest,0.7077340353157047,0.632561354994815,0.7596105209914011,0.5202217026067377,0.6175276278591622,0.3062620062897886
0.5,xgboost,0.7064795615123485,0.6479680015801689,0.6994042245892761,0.670996795704512,0.6849060773480663,0.28682968622962396
0.6,random_classifier,0.5007041934410139,0.5110795629899388,0.5581468312068605,0.5908336100963135,0.5740252756117236,0.001422365699709829
0.6,logistic_regression,0.6881640767088137,0.630825257700142,0.6621334466638334,0.6899147570021034,0.6757386825698021,0.24790990172676325
0.6,random_forest,0.6982487436319804,0.6157644589840133,0.7706245181187356,0.44259935790988597,0.5622670698263132,0.29443459310949033
0.6,xgboost,0.7035273874266579,0.6368742670205543,0.7170617420066152,0.5759991143584634,0.6388360243108846,0.28923822101720115
0.7,random_classifier,0.5012462663528109,0.5132087894000493,0.5793605481016272,0.5776291447274797,0.5784935509156988,0.002491165879202347
0.7,logistic_regression,0.7101165050118385,0.641099497983705,0.7166775032509753,0.6274370286039561,0.6690947719857349,0.2837506696145357
0.7,random_forest,0.7137674584492713,0.6062052505966588,0.8193732193732194,0.4092784972249893,0.5458859257853279,0.31112265423688273
0.7,xgboost,0.7246010758991721,0.6432392395687597,0.7827731092436975,0.5302405009250035,0.63222193942479,0.33227460664946473
0.8,random_classifier,0.5035039986576181,0.5158622392297247,0.5843683083511777,0.5794055201698514,0.5818763326226013,0.006996800256537665
0.8,logistic_regression,0.7091786613872992,0.6525120355511665,0.6803044719314938,0.7590233545647559,0.7175112895132966,0.2723996330887564
0.8,random_forest,0.7199077300284693,0.6331317121343044,0.7992424242424242,0.49278131634819533,0.6096664039926452,0.33007250501251967
0.8,xgboost,0.7314730950730703,0.6554746327613875,0.7530994460564495,0.6061571125265393,0.6716856840371721,0.3263975519415199
0.9,random_classifier,0.5187414252130256,0.5267835102443841,0.5753246753246753,0.5867549668874172,0.580983606557377,0.037592574133281716
0.9,logistic_regression,0.6635744285329358,0.6173784250802271,0.6375529049634475,0.7315673289183223,0.6813322368421053,0.2113483562579377
0.9,random_forest,0.6620132302010486,0.5825722043939768,0.7535335689045937,0.3766004415011038,0.5022078304386223,0.2438470244404827
0.9,xgboost,0.6889351566883958,0.6163910145643051,0.7163724893487523,0.5196467991169977,0.6023541453428863,0.2616207313495243
